SKU_ID,METADATA_NAME,METADATA_VALUE
1012086,benefit,Lash Enhancer
1012086,benefit,Waterproof
1012086,ingredients,Sulfate-Free
1012086,form,Cream
1012086,finish,Matte
1012086,color,Brown
1012219,color,Black
1012219,finish,Matte
1012219,form,Cream
1012220,finish,Matte
1012220,color,Brown
1012220,form,Cream
1012469,color,Black
1012469,finish,Matte
1012469,form,Pencil
1012469,ingredients,Sulfate-Free
1031089,color_eyes,Black
1131096,color_eyes,Brown
1131096,finish_eyes,Matte
1131096,form_eyes,Pencil
1131096,ingredients,Cruelty-Free
1131097,color_eyes,Black
1131097,finish_eyes,Matte
1131097,form_eyes,Pencil
1131097,ingredients,Cruelty-Free
1131098,ingredients,Cruelty-Free
1131098,form_eyes,Pencil
1131098,color_eyes,Grey
1131098,finish_eyes,Matte
1131108,form_eyes,Pencil
1131108,ingredients,Cruelty-Free
1131108,color_eyes,Black
1131108,finish_eyes,Matte
1131111,color_eyes,Brown
1131111,color_eyes,Black
1131111,finish_eyes,Matte
1131111,form_eyes,Pencil
1131111,ingredients,Cruelty-Free
1131116,ingredients,Cruelty-Free
1131116,form_eyes,Pencil
1131116,color_eyes,Brown
1131116,finish_eyes,Matte
1131117,color_eyes,Brown
1131117,finish_eyes,Matte
1131117,form_eyes,Pencil
1131117,ingredients,Cruelty-Free
1131244,form_face,Liquid
1131244,skinType,Normal
1131244,finish_face,Matte
1131244,coverage_face,Full
1131245,form_face,Stick
1131245,finish_face,Matte
1131245,coverage_face,Full
1131245,skinType,Normal
1131246,skinType,Normal
1131246,finish_face,Matte
1131246,coverage_face,Full
1131246,form_face,Stick
1131248,coverage_face,Light
1131248,skinType,Normal
1131248,finish_face,Matte
1131248,form_face,Loose Powder
1131249,skinType,Normal
1131249,finish_face,Matte
1131249,coverage_face,Light
1131249,form_face,Loose Powder
1131769,skin type,Normal
1131769,form,Pressed Powder
1131769,finish,Illuminating
1271017,concerns_skin,Acne & Blemishes
1271017,concerns_skin,Redness
1271017,concerns_skin,Dark Circles
1271017,concerns_skin,Blackheads & Visible Pores
1271017,concerns_skin,Dark Spots & Uneven Skin Tone
1271017,concerns_skin,Oiliness
1271017,skinType,Normal
1271017,form_face,Loose Powder
1271017,skinType,Oily
1271017,skinType,Combination
1271017,skinType,Sensitive
1271017,skinType,Dry
1271017,finish_face,Matte
1471504,color,Black
1471504,benefit,Volumizing
1471505,benefit,Volumizing
1471505,color,Brown
1471597,form_eyes,Liquid
1471597,color_eyes,Black
1471597,finish_eyes,Matte
1472358,benefit,Waterproof
1472358,color,Black
1472359,color,Brown
1472359,benefit,Waterproof
1472988,benefit,Volumizing
1472988,color,Black
1472989,color,Brown
1472989,benefit,Volumizing
1521008,color,Black
1521008,finish,Matte
1521008,form,Cream
1521008,benefit,Volumizing
1521009,color,Brown
1521009,benefit,Volumizing
1521009,form,Cream
1521009,finish,Matte
1521643,form,Loose Powder
1521643,skin type,Oily
1521643,coverage,Full
1521643,finish,Matte
1521643,ingredients,Oil-Free
1521643,skin type,Combination
1521644,ingredients,Oil-Free
1521644,finish,Matte
1521644,coverage,Full
1521644,form,Loose Powder
1521644,skin type,Oily
1521644,skin type,Combination
1521735,color_eyes,Black
1521735,finish_eyes,Matte
1521735,form_eyes,Cream
1521735,benefit,Waterproof
1521735,benefit,Volumizing
1671710,coverage,Medium
1671710,finish,Matte
1671710,skin type,Combination
1671710,form,Pressed Powder
1741411,color_lips,Brown
1741411,finish_lips,Sheer
1741411,form_lips,Stick
1741411,ingredients,Paraben-Free
1741411,ingredients,Sulfate-Free
1741416,ingredients,Paraben-Free
1741416,form_lips,Stick
1741416,color_lips,Gold
1741416,finish_lips,Sheer
1741416,ingredients,Sulfate-Free
1741417,ingredients,Paraben-Free
1741417,form_lips,Stick
1741417,finish_lips,Sheer
1741417,color_lips,Silver
1741417,ingredients,Sulfate-Free
1741420,color_lips,Pink
1741420,finish_lips,Sheer
1741420,form_lips,Stick
1741420,ingredients,Paraben-Free
1741420,ingredients,Sulfate-Free
1741425,finish_lips,Sheer
1741425,color_lips,Pink
1741425,form_lips,Stick
1741425,ingredients,Sulfate-Free
1741425,ingredients,Paraben-Free
1741436,ingredients,Sulfate-Free
1741436,ingredients,Paraben-Free
1741436,form_lips,Stick
1741436,finish_lips,Sheer
